HR,day,time
66.0,2,00:55:00
66.0,2,00:55:01
67.0,2,00:55:02
67.0,2,00:55:03
68.0,2,00:55:04
69.0,2,00:55:05
69.0,2,00:55:06
69.0,2,00:55:07
69.0,2,00:55:08
69.0,2,00:55:09
68.0,2,00:55:10
68.0,2,00:55:11
68.0,2,00:55:12
69.0,2,00:55:13
69.0,2,00:55:14
69.0,2,00:55:15
70.0,2,00:55:16
70.0,2,00:55:23
71.0,2,00:55:24
71.0,2,00:55:25
71.0,2,00:55:26
71.0,2,00:55:27
71.0,2,00:55:28
71.0,2,00:55:29
70.0,2,00:55:30
70.0,2,00:55:31
70.0,2,00:55:32
71.0,2,00:55:33
71.0,2,00:55:34
71.0,2,00:55:35
71.0,2,00:55:36
71.0,2,00:55:37
71.0,2,00:55:38
71.0,2,00:55:39
71.0,2,00:55:40
71.0,2,00:55:41
72.0,2,00:55:42
72.0,2,00:55:43
72.0,2,00:55:44
72.0,2,00:55:45
73.0,2,00:55:46
73.0,2,00:55:47
73.0,2,00:55:48
73.0,2,00:55:49
74.0,2,00:55:56
73.0,2,00:55:57
74.0,2,00:55:58
74.0,2,00:55:59
74.0,2,00:56:00
74.0,2,00:56:01
74.0,2,00:56:02
74.0,2,00:56:03
73.0,2,00:56:04
73.0,2,00:56:05
73.0,2,00:56:06
72.0,2,00:56:07
72.0,2,00:56:08
71.0,2,00:56:09
71.0,2,00:56:10
72.0,2,00:56:11
72.0,2,00:56:12
72.0,2,00:56:13
72.0,2,00:56:14
72.0,2,00:56:15
72.0,2,00:56:16
71.0,2,00:56:17
70.0,2,00:56:18
70.0,2,00:56:19
70.0,2,00:56:20
70.0,2,00:56:21
70.0,2,00:56:22
69.0,2,00:56:29
70.0,2,00:56:30
71.0,2,00:56:31
71.0,2,00:56:32
71.0,2,00:56:33
71.0,2,00:56:34
69.0,2,00:56:35
69.0,2,00:56:36
68.0,2,00:56:37
68.0,2,00:56:38
68.0,2,00:56:39
69.0,2,00:56:40
70.0,2,00:56:41
70.0,2,00:56:42
70.0,2,00:56:43
69.0,2,00:56:44
69.0,2,00:56:45
68.0,2,00:56:46
69.0,2,00:56:47
69.0,2,00:56:48
70.0,2,00:56:49
70.0,2,00:56:50
71.0,2,00:56:51
71.0,2,00:56:52
70.0,2,00:56:53
72.0,2,00:56:54
71.0,2,00:56:55
70.0,2,00:57:02
69.0,2,00:57:03
69.0,2,00:57:04
69.0,2,00:57:05
69.0,2,00:57:06
69.0,2,00:57:07
68.0,2,00:57:08
69.0,2,00:57:09
68.0,2,00:57:10
68.0,2,00:57:11
69.0,2,00:57:12
69.0,2,00:57:13
69.0,2,00:57:14
70.0,2,00:57:15
70.0,2,00:57:16
70.0,2,00:57:17
71.0,2,00:57:18
71.0,2,00:57:19
72.0,2,00:57:20
72.0,2,00:57:21
72.0,2,00:57:22
71.0,2,00:57:23
71.0,2,00:57:24
71.0,2,00:57:25
71.0,2,00:57:26
71.0,2,00:57:27
71.0,2,00:57:28
70.0,2,00:57:35
70.0,2,00:57:36
70.0,2,00:57:37
70.0,2,00:57:38
70.0,2,00:57:39
70.0,2,00:57:40
70.0,2,00:57:41
69.0,2,00:57:42
69.0,2,00:57:43
68.0,2,00:57:44
67.0,2,00:57:45
68.0,2,00:57:46
68.0,2,00:57:47
68.0,2,00:57:48
68.0,2,00:57:49
69.0,2,00:57:50
69.0,2,00:57:51
69.0,2,00:57:52
69.0,2,00:57:53
69.0,2,00:57:54
69.0,2,00:57:55
70.0,2,00:57:56
71.0,2,00:57:57
71.0,2,00:57:58
71.0,2,00:57:59
71.0,2,00:58:00
71.0,2,00:58:01
68.0,2,00:58:08
69.0,2,00:58:09
69.0,2,00:58:10
69.0,2,00:58:11
70.0,2,00:58:12
70.0,2,00:58:13
70.0,2,00:58:14
70.0,2,00:58:15
70.0,2,00:58:16
70.0,2,00:58:17
70.0,2,00:58:18
69.0,2,00:58:19
69.0,2,00:58:20
69.0,2,00:58:21
69.0,2,00:58:22
70.0,2,00:58:23
71.0,2,00:58:24
